x0,P
   0.0090573 ,             0
    0.018982 ,             0
    0.017773 ,             0
   0.0076215 ,             0
     0.01863 ,             0
   0.0083042 ,          0.02
    0.016388 ,             0
   0.0081167 ,             0
   0.0099457 ,             0
   0.0021002 ,          0.13
    0.013439 ,             0
    0.013477 ,             0
    0.016938 ,             0
    0.013216 ,             0
    0.020603 ,             0
    0.013163 ,             0
    0.016472 ,             0
    0.020206 ,             0
    0.018929 ,             0
    0.018273 ,             0
    0.020283 ,             0
    0.022722 ,             0
   0.0079159 ,             0
    0.014357 ,             0
   0.0088096 ,             0
   0.0091053 ,             0
    0.019777 ,             0
    0.019094 ,             0
   0.0098174 ,             0
    0.013532 ,             0
   0.0057429 ,             0
   0.0084498 ,             0
   0.0039518 ,          0.02
   0.0086225 ,             0
    0.022025 ,             0
   0.0010064 ,          0.26
    0.010368 ,             0
   0.0062183 ,             0
    0.012351 ,             0
   0.0027274 ,          0.05
     0.01132 ,             0
    0.021268 ,             0
   0.0039821 ,          0.08
   0.0046429 ,          0.06
   0.0017684 ,          0.22
    0.020085 ,             0
   0.0095989 ,             0
    0.016209 ,             0
    0.010368 ,             0
   0.0020702 ,          0.14
     0.00607 ,             0
    0.015489 ,             0
    0.023104 ,             0
     0.01173 ,             0
   0.0016497 ,           0.2
    0.010779 ,             0
    0.024702 ,             0
    0.020945 ,             0
     0.01722 ,             0
    0.020859 ,             0
    0.018426 ,             0
   0.0077696 ,             0
    0.013736 ,             0
    0.019276 ,             0
    0.021191 ,             0
    0.011541 ,             0
    0.023046 ,             0
    0.022334 ,             0
